"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"bsmas_6","start_q","","radio","...hai utilizzato i social media così tanto che il loro uso ha avuto un impatto negativo sul tuo lavoro/sui tuoi studi?","1, Molto raramente | 2, Raramente | 3, Qualche volta | 4, Spesso | 5, Molto spesso","","","","","","[age_group] <> '99'","y","","","bsmas","",""
"phq9_1","start_q","PHQ-9 - Patient Health Questionnaire. Nelle ultime 2 settimane, con quale frequenza ti ha dato fastidio ciascuno dei seguenti problemi?","radio","Scarso interesse o piacere nel fare le cose","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_2","start_q","","radio","Sentirsi giù, triste o disperato/a","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_3","start_q","","radio","Problemi ad addormentarsi o a dormire tutta la notte senza svegliarsi, o a dormire troppo","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_4","start_q","","radio","Sentirsi stanco/a o avere poca energia","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_5","start_q","","radio","Scarso appetito o mangiare troppo","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_6","start_q","","radio","Avere una scarsa opinione di sé, o sentirsi un/una fallito/a o aver deluso se stesso/a o i propri familiari","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_7","start_q","","radio","Difficoltà a concentrarsi su qualcosa, per esempio leggere il giornale o guardare la televisione","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_8","start_q","","radio","Muoversi o parlare così lentamente da poter essere notato/a da altre persone. O, al contrario, essere così irrequieto/a da muoversi molto più del solito","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_9","start_q","","radio","Pensare che sarebbe meglio morire o farsi del male in un modo o nell'altro","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","phq9","",""
"phq9_difficulty","start_q","","radio","Quanto questi problemi le hanno reso difficile fare il suo lavoro/occuparsi delle cose/avere buoni rapporti?","0, Per niente difficile | 1, Abbastanza difficile | 2, Molto difficile | 3, Estremamente difficile","","","","","","[age_group] <> '99'","y","","","","",""
"gad7_1","start_q","GAD-7 - Generalized Anxiety Disorder. Nelle ultime 2 settimane, con quale frequenza ti ha dato fastidio ciascuno dei seguenti problemi?","radio","Sentirsi nervoso/a, ansioso/a o teso/a","0, Mai | 1, Alcuni giorni | 2, Oltre la metà dei giorni | 3, Quasi ogni giorno","","","","","","[age_group] <> '99'","y","","","gad7","",""
